"ID","year","county","month","precip","avgT","minT","frozen"
33001012006,2006,"Adams","Jul",3.11,74.9,63.6,0
33001012006,2006,"Adams","Aug",3.43,75.1,63.8,0
33001012006,2006,"Adams","Sep",7.47,63,53,0
33001012006,2006,"Adams","Oct",6.25,51.9,41.4,0
33001012006,2006,"Adams","Nov",2.02,45.6,34.9,0
33001012006,2006,"Adams","Dec",2.42,40,29.3,1
33001012007,2007,"Adams","Jan",3.76,36.8,28.8,1
33001012007,2007,"Adams","Feb",3.04,23,13.2,1
33001012007,2007,"Adams","Mar",2.54,48.5,36.6,0
33001012007,2007,"Adams","Apr",3.72,51.6,40.6,0
33001012007,2007,"Adams","May",0.52,66,51.5,0
33001012007,2007,"Adams","Jun",2.62,71.8,58.4,0
33001012007,2007,"Adams","Jul",4.03,71.7,59.6,0
33001012007,2007,"Adams","Aug",1.94,77.9,65,0
33001012007,2007,"Adams","Sep",1.76,69.8,55.3,0
33001012007,2007,"Adams","Oct",4.97,61,48.8,0
33001012007,2007,"Adams","Nov",3.5,43.9,32.9,0
33001012007,2007,"Adams","Dec",5.7,36.7,28.1,1
33001012008,2008,"Adams","Jan",3.33,31.1,20.7,1
33001012008,2008,"Adams","Feb",4.66,33.1,24.2,1
33001012008,2008,"Adams","Mar",8.78,41.6,31.8,1
33001012008,2008,"Adams","Apr",3.21,54.6,42.7,0
33001012008,2008,"Adams","May",6.39,58.9,46.4,0
33001012008,2008,"Adams","Jun",8.07,72.1,60,0
33001012008,2008,"Adams","Jul",2.93,73.3,61.8,0
33001012008,2008,"Adams","Aug",1.58,71.9,59.7,0
33001012008,2008,"Adams","Sep",1.49,69.4,55.9,0
33001012008,2008,"Adams","Oct",1.74,54.1,40.7,0
33001012008,2008,"Adams","Nov",2.36,41.9,30.6,1
33001012008,2008,"Adams","Dec",4.53,34.4,24.1,1
33001012009,2009,"Adams","Jan",3.88,26.6,17.5,1
33001012009,2009,"Adams","Feb",2.08,35.6,25.3,1
33001012009,2009,"Adams","Mar",1.64,46,34.3,0
33001012009,2009,"Adams","Apr",5.2,53.9,41.7,0
33001012009,2009,"Adams","May",4.1,63.3,51.4,0
33001012009,2009,"Adams","Jun",5.59,71.1,59.8,0
33001012009,2009,"Adams","Jul",6.86,69.5,59.2,0
33001012009,2009,"Adams","Aug",3.53,72,61.5,0
33001012009,2009,"Adams","Sep",4.78,66.3,55.5,0
33001012009,2009,"Adams","Oct",5.23,51.8,41.2,0
33001012009,2009,"Adams","Nov",0.73,47.8,36.5,0
33001012009,2009,"Adams","Dec",3.55,33.8,26,1
33001012010,2010,"Adams","Jan",2.29,28.2,21.8,1
33001012010,2010,"Adams","Feb",1.92,28.5,20.9,1
33001012010,2010,"Adams","Mar",3.15,45.1,34.5,0
33001012010,2010,"Adams","Apr",1.94,57.5,42.8,0
33001012010,2010,"Adams","May",11.04,65.9,54,0
33001012010,2010,"Adams","Jun",7.42,74.5,63.4,0
33001012010,2010,"Adams","Jul",3.85,76.5,65.6,0
33001012010,2010,"Adams","Aug",4.01,75.7,63.5,0
33001012010,2010,"Adams","Sep",1.72,68.1,53.8,0
33001012010,2010,"Adams","Oct",1.73,57,43.1,0
33001012010,2010,"Adams","Nov",3.67,44.5,31.4,1
33001012010,2010,"Adams","Dec",2.35,27.3,20.6,1
33001012011,2011,"Adams","Jan",1.45,28.4,20.1,1
33001012011,2011,"Adams","Feb",4.51,36.8,26.7,1
33001012011,2011,"Adams","Mar",4.94,44.3,33.8,0
33001012011,2011,"Adams","Apr",10.97,55.8,43.6,0
33001012011,2011,"Adams","May",7.22,62,51.1,0
33001012011,2011,"Adams","Jun",4.01,71.2,59.4,0
33001012011,2011,"Adams","Jul",4.45,77.9,66.9,0
33001012011,2011,"Adams","Aug",2.46,73.2,61,0
33001012011,2011,"Adams","Sep",5.08,65.7,55.3,0
33001012011,2011,"Adams","Oct",4.39,53.6,42,0
33001012011,2011,"Adams","Nov",6.03,48.3,37,0
33001012011,2011,"Adams","Dec",3.35,39.3,30.2,1
33001012012,2012,"Adams","Jan",3.79,35.7,25.8,1
33001012012,2012,"Adams","Feb",1.8,38.4,28.3,1
33001012012,2012,"Adams","Mar",2.83,54.4,41.5,0
33001012012,2012,"Adams","Apr",3.05,53.5,40.5,0
33001012012,2012,"Adams","May",4.85,68,55,0
33001012012,2012,"Adams","Jun",1.96,70.6,56.3,0
33001012012,2012,"Adams","Jul",4.64,78.5,66.6,0
33001012012,2012,"Adams","Aug",1.82,72.9,59.9,0
33001012012,2012,"Adams","Sep",4.62,65.2,53,0
33001012012,2012,"Adams","Oct",3.26,53.2,41.4,0
33001012012,2012,"Adams","Nov",0.84,41,28.4,1
33001012012,2012,"Adams","Dec",7.33,40.9,32.4,0
33001012013,2013,"Adams","Jan",2.99,34,25.2,1
33001012013,2013,"Adams","Feb",1.74,33.4,23.8,1
33001012013,2013,"Adams","Mar",3.69,37.2,28.3,1
33001012013,2013,"Adams","Apr",3.46,53.2,39.9,0
33001012013,2013,"Adams","May",3.04,63.1,50.6,0
33001012013,2013,"Adams","Jun",5.63,70.6,59,0
33001012013,2013,"Adams","Jul",5.51,73,62.3,0
33001012013,2013,"Adams","Aug",2.45,71.4,60.4,0
33001012013,2013,"Adams","Sep",2.7,66.3,53.4,0
33001012013,2013,"Adams","Oct",3.62,55.4,43.7,0
33001012013,2013,"Adams","Nov",4.03,40.5,29.7,1
33001012013,2013,"Adams","Dec",5.34,36.3,27.3,1
33001012014,2014,"Adams","Jan",2.23,23.6,13,1
33001012014,2014,"Adams","Feb",3.52,29.2,19.2,1
33001012014,2014,"Adams","Mar",2.31,39,26.9,1
33001012014,2014,"Adams","Apr",7.16,54.7,40.6,0
33001012014,2014,"Adams","May",3.81,63.1,50.2,0
33001012014,2014,"Adams","Jun",5.07,71.6,59.9,0
33001012014,2014,"Adams","Jul",3.23,70.9,59.5,0
33001012014,2014,"Adams","Aug",2.42,72.5,61.5,0
33001012014,2014,"Adams","Sep",1.71,65.9,52.7,0
33001012014,2014,"Adams","Oct",5.35,55.2,44.2,0
33001012014,2014,"Adams","Nov",1.99,38.3,28.4,1
33001012014,2014,"Adams","Dec",2.97,37.9,30.8,1
33001012015,2015,"Adams","Jan",1.77,29.1,20.1,1
33001012015,2015,"Adams","Feb",1.74,22.6,11.8,1
33001012015,2015,"Adams","Mar",5.9,40.3,29.1,1
33001012015,2015,"Adams","Apr",8.09,54,41,0
33001012015,2015,"Adams","May",1.99,66.2,52.8,0
33001012015,2015,"Adams","Jun",6.58,71.8,61.4,0
33001012015,2015,"Adams","Jul",7.67,73,62.8,0
33001012015,2015,"Adams","Aug",2.24,70.6,59.1,0
33001012015,2015,"Adams","Sep",2.28,69.5,56.6,0
33001012015,2015,"Adams","Oct",3.35,56.1,44.4,0
33001012015,2015,"Adams","Nov",2.42,48.7,36.4,0
33001012015,2015,"Adams","Dec",6.29,46.4,37.1,0
33001012016,2016,"Adams","Jan",1.15,29.4,19.7,1
33001012016,2016,"Adams","Feb",4.67,37,27.1,1
33001012016,2016,"Adams","Mar",4.49,49.2,38.1,0
33001012016,2016,"Adams","Apr",3.15,54.6,40.9,0
33001012016,2016,"Adams","May",4.95,61,49.6,0
33001012016,2016,"Adams","Jun",4.04,72.5,60.1,0
33001012016,2016,"Adams","Jul",6.56,75.6,65.1,0
33001012016,2016,"Adams","Aug",3.96,76.9,66.6,0
33001012016,2016,"Adams","Sep",2.03,71.4,58.3,0
33001012016,2016,"Adams","Oct",1.96,59.7,47,0
33001012016,2016,"Adams","Nov",1.49,46.7,33.8,0
33001012016,2016,"Adams","Dec",4.57,35.2,26.5,1
33001012017,2017,"Adams","Jan",4.37,38,30.1,1
33001012017,2017,"Adams","Feb",1.95,43.4,32.4,0
33001012017,2017,"Adams","Mar",5.74,44.3,33.3,0
33001012017,2017,"Adams","Apr",4.46,59.3,46.7,0
33001012017,2017,"Adams","May",5.66,62.7,51,0
33001012017,2017,"Adams","Jun",4.79,69.6,56.6,0
33001012017,2017,"Adams","Jul",5.73,74.3,63.4,0
33001012017,2017,"Adams","Aug",1.94,71,59.6,0
33001012017,2017,"Adams","Sep",2.28,66.2,54.1,0
33001012017,2017,"Adams","Oct",4.41,58,46.1,0
33001012017,2017,"Adams","Nov",2.5,43.4,32.4,0
33001012017,2017,"Adams","Dec",1.72,32.7,22.6,1
33001012018,2018,"Adams","Jan",2.04,27.7,17.1,1
33001012018,2018,"Adams","Feb",8.2,41.5,30.9,1
33001012018,2018,"Adams","Mar",3.25,40.3,31.1,1
33001012018,2018,"Adams","Apr",4.6,48.9,37.3,0
33001012018,2018,"Adams","May",4.04,70.1,57.5,0
33001012018,2018,"Adams","Jun",5.21,73.5,62.2,0
33001012018,2018,"Adams","Jul",5.47,74.7,63.2,0
33001012018,2018,"Adams","Aug",6.07,74.8,65.1,0
33001012018,2018,"Adams","Sep",10.52,71.7,62.8,0
33001012018,2018,"Adams","Oct",2.55,56.5,45.6,0
33001012018,2018,"Adams","Nov",6.49,39.6,31.6,1
33001012018,2018,"Adams","Dec",3.73,37.5,29.3,1
33001012019,2019,"Adams","Jan",4.94,30.9,23,1
33001012019,2019,"Adams","Feb",7.65,38.3,28.6,1
33001012019,2019,"Adams","Mar",3.56,40.4,29.2,1
33001012019,2019,"Adams","Apr",4.35,54.5,41.2,0
33001012019,2019,"Adams","May",4.02,66,54.3,0
33001012019,2019,"Adams","Jun",8.61,69.8,59,0
33001012019,2019,"Adams","Jul",3.79,76.6,65.3,0
33001012019,2019,"Adams","Aug",5,72.8,60.8,0
33001012019,2019,"Adams","Sep",0.4,72.1,58.3,0
33001012019,2019,"Adams","Oct",5.25,58.4,45.5,0
33001012019,2019,"Adams","Nov",3.79,39,28,1
33001012019,2019,"Adams","Dec",5.7,38.7,28.6,1
33001012020,2020,"Adams","Jan",3.05,37.7,29.8,1
33001012020,2020,"Adams","Feb",4.67,36,27,1
33001012020,2020,"Adams","Mar",3.89,48.4,37.4,0
33001012020,2020,"Adams","Apr",5.74,50.6,39.1,0
33001012020,2020,"Adams","May",6.59,59.5,48.2,0
33001012020,2020,"Adams","Jun",4.09,71,58.7,0
33001012020,2020,"Adams","Jul",3.64,78,66.1,0
33001012020,2020,"Adams","Aug",4.29,73.1,62.4,0
33001012020,2020,"Adams","Sep",3.36,66.2,54.2,0
33001012020,2020,"Adams","Oct",4.49,55.4,44.7,0
33001012020,2020,"Adams","Nov",2.18,47.5,34.6,0
33001012020,2020,"Adams","Dec",2.53,35.2,26.8,1
33001012021,2021,"Adams","Jan",2.86,33.3,26.4,1
33001012021,2021,"Adams","Feb",3.36,29.2,21.2,1
33001012021,2021,"Adams","Mar",4.92,46.6,32.6,0
33001012021,2021,"Adams","Apr",4.73,52.1,39.1,0
33001012021,2021,"Adams","May",4.29,60.6,47.4,0
33001012021,2021,"Adams","Jun",5.41,71.5,60.3,0
33001012021,2021,"Adams","Jul",7.47,73.6,63,0
33001012021,2021,"Adams","Aug",2.9,75.2,64.9,0
33001012021,2021,"Adams","Sep",5.29,67,55,0
33001012021,2021,"Adams","Oct",4.81,61,50.3,0
33001012021,2021,"Adams","Nov",1.63,41.5,29.8,1
33001012021,2021,"Adams","Dec",4.43,43.5,31.6,1
33003012001,2001,"Allen","Jan",0.64,26.4,20.2,1
33003012001,2001,"Allen","Feb",1.83,31.9,24.5,1
33003012001,2001,"Allen","Mar",0.81,35.6,26.8,1
33003012001,2001,"Allen","Apr",3.58,53.5,41.6,0
33003012001,2001,"Allen","May",6.07,62.4,52,0
33003012001,2001,"Allen","Jun",2.28,69,58.7,0
33003012001,2001,"Allen","Jul",2.46,73.1,62.1,0
33003012001,2001,"Allen","Aug",3.52,73,62.5,0
33003012001,2001,"Allen","Sep",4.72,62.6,51.6,0
33003012001,2001,"Allen","Oct",5.69,53.5,44.1,0
33003012001,2001,"Allen","Nov",2,48.2,37.9,0
33003012001,2001,"Allen","Dec",2.52,36.2,29.3,1
33003012002,2002,"Allen","Jan",2.56,34.2,27.2,1
33003012002,2002,"Allen","Feb",1.99,34.1,25.5,1
33003012002,2002,"Allen","Mar",2.96,37.1,28,1
33003012002,2002,"Allen","Apr",4.15,51.9,42.2,0
33003012002,2002,"Allen","May",4.44,56.8,45.6,0
33003012002,2002,"Allen","Jun",1.54,72.3,61.4,0
33003012002,2002,"Allen","Jul",2.02,76.8,64.8,0
33003012002,2002,"Allen","Aug",2.09,74.5,63.5,0
33003012002,2002,"Allen","Sep",3.35,68.9,56.5,0
33003012002,2002,"Allen","Oct",1.76,51.3,42,0
33003012002,2002,"Allen","Nov",3.16,38.8,32.1,0
33003012002,2002,"Allen","Dec",2.26,29.6,23,1
33003012003,2003,"Allen","Jan",1.16,19.5,12.4,1
33003012003,2003,"Allen","Feb",2.21,23.4,15.8,1
33003012003,2003,"Allen","Mar",2.49,39.1,28.7,1
33003012003,2003,"Allen","Apr",3.01,51,39.5,0
33003012003,2003,"Allen","May",6.64,58.7,48.7,0
33003012003,2003,"Allen","Jun",3.9,66.9,57,0
33003012003,2003,"Allen","Jul",7.62,71.8,62,0
33003012003,2003,"Allen","Aug",4.75,72.7,63.1,0
33003012003,2003,"Allen","Sep",5.49,62.6,52.2,0
33003012003,2003,"Allen","Oct",2.31,51.7,40.7,0
33003012003,2003,"Allen","Nov",3.02,45.4,37,0
33003012003,2003,"Allen","Dec",2.89,31.9,25.7,1
33003012004,2004,"Allen","Jan",2.36,21.3,14.1,1
33003012004,2004,"Allen","Feb",0.57,28.8,21,1
33003012004,2004,"Allen","Mar",2.53,41.4,33.5,0
33003012004,2004,"Allen","Apr",1.39,51.4,40.7,0
33003012004,2004,"Allen","May",6.97,63.9,53.3,0
33003012004,2004,"Allen","Jun",5.49,68.1,58.2,0
33003012004,2004,"Allen","Jul",5.66,71.1,61.7,0
33003012004,2004,"Allen","Aug",4.67,68.2,58.8,0
33003012004,2004,"Allen","Sep",1.43,66.3,54.8,0
33003012004,2004,"Allen","Oct",2.4,53.3,43.1,0
33003012004,2004,"Allen","Nov",5.15,44.1,36.6,0
33003012004,2004,"Allen","Dec",2.56,29.9,22.4,1
33003012005,2005,"Allen","Jan",6.69,26,18.5,1
33003012005,2005,"Allen","Feb",1.55,31.2,24.4,1
33003012005,2005,"Allen","Mar",1.45,34.6,26.2,1
33003012005,2005,"Allen","Apr",4.32,51.3,39.8,0
33003012005,2005,"Allen","May",1.42,56.6,45,0
33003012005,2005,"Allen","Jun",2.04,73.8,63,0
33003012005,2005,"Allen","Jul",4.62,74.7,63.8,0
33003012005,2005,"Allen","Aug",5.17,73.9,63.2,0
33003012005,2005,"Allen","Sep",5,67.8,56.4,0
33003012005,2005,"Allen","Oct",2.12,54.4,45.2,0
33003012005,2005,"Allen","Nov",3.61,44,34.6,0
33003012005,2005,"Allen","Dec",2.29,25.3,19.4,1
33003012006,2006,"Allen","Jan",2.13,38,31.6,1
33003012006,2006,"Allen","Feb",1.87,30.2,22.5,1
33003012006,2006,"Allen","Mar",1.91,38.4,29.9,1
33003012006,2006,"Allen","Apr",2.25,53.7,41.3,0
33003012006,2006,"Allen","May",4.84,59.4,49.2,0
33003012006,2006,"Allen","Jun",3.36,68.3,57.4,0
33003012006,2006,"Allen","Jul",3.89,74.7,65.2,0
33003012006,2006,"Allen","Aug",2.76,73,62.8,0
33003012006,2006,"Allen","Sep",2.69,61.9,51.9,0
33003012006,2006,"Allen","Oct",4.98,50.2,40.8,0
33003012006,2006,"Allen","Nov",2.6,43.1,34.9,0
33003012006,2006,"Allen","Dec",4.5,37.4,30,1
33003012007,2007,"Allen","Jan",5.62,31.6,25.5,1
33003012007,2007,"Allen","Feb",1.24,17.6,10,1
33003012007,2007,"Allen","Mar",4.65,42.9,33.4,0
33003012007,2007,"Allen","Apr",4.39,47.8,38,0
33003012007,2007,"Allen","May",0.91,64.8,52,0
33003012007,2007,"Allen","Jun",1.73,71.6,59.3,0
33003012007,2007,"Allen","Jul",1.91,71.3,59.6,0
33003012007,2007,"Allen","Aug",10.54,74.7,64.3,0
33003012007,2007,"Allen","Sep",2.59,67.7,55.6,0
33003012007,2007,"Allen","Oct",2.08,60.2,50.3,0
33003012007,2007,"Allen","Nov",3.3,41.5,33.4,0
33003012007,2007,"Allen","Dec",4.22,31.1,25,1
33003012008,2008,"Allen","Jan",2.52,27.8,20.1,1
33003012008,2008,"Allen","Feb",5.53,26,18.5,1
33003012008,2008,"Allen","Mar",5.17,35.5,28.1,1
33003012008,2008,"Allen","Apr",3.02,51.8,40.7,0
33003012008,2008,"Allen","May",4.97,57.4,46.7,0
33003012008,2008,"Allen","Jun",6.16,71.4,61.3,0
33003012008,2008,"Allen","Jul",2.88,72.8,62.2,0
33003012008,2008,"Allen","Aug",0.91,71.3,59.4,0
33003012008,2008,"Allen","Sep",1.97,67.7,54.8,0
33003012008,2008,"Allen","Oct",1.67,52.4,41.1,0
33003012008,2008,"Allen","Nov",2.35,40,32.2,0
33003012008,2008,"Allen","Dec",4.3,28.8,20.3,1
33003012009,2009,"Allen","Jan",1.35,18.4,10.8,1
33003012009,2009,"Allen","Feb",2.3,30.2,22,1
33003012009,2009,"Allen","Mar",3.29,41.8,30.7,1
33003012009,2009,"Allen","Apr",4.78,49.8,39.6,0
33003012009,2009,"Allen","May",3.42,60.7,48.9,0
33003012009,2009,"Allen","Jun",3.08,69.7,59,0
33003012009,2009,"Allen","Jul",2.29,68.7,58.2,0
33003012009,2009,"Allen","Aug",1.73,71.2,60.7,0
33003012009,2009,"Allen","Sep",1.15,65,53.7,0
33003012009,2009,"Allen","Oct",4.67,49.4,40.3,0
33003012009,2009,"Allen","Nov",1.04,45.4,36.8,0
33003012009,2009,"Allen","Dec",2.3,29.3,23,1
33003012010,2010,"Allen","Jan",0.8,22.5,16.9,1
33003012010,2010,"Allen","Feb",1.59,24.3,18.3,1
33003012010,2010,"Allen","Mar",2.71,41.6,32,0
33003012010,2010,"Allen","Apr",2.53,55.2,42.8,0
33003012010,2010,"Allen","May",5.62,63.2,52.6,0
33003012010,2010,"Allen","Jun",6.48,72.7,63,0
33003012010,2010,"Allen","Jul",2.56,76.1,65.4,0
33003012010,2010,"Allen","Aug",2.66,74.5,64.3,0
33003012010,2010,"Allen","Sep",1.44,66.3,54.3,0
33003012010,2010,"Allen","Oct",1.39,55.3,43.6,0
33003012010,2010,"Allen","Nov",4.79,41.7,30.5,1
33003012010,2010,"Allen","Dec",0.83,23.9,17.8,1
33003012011,2011,"Allen","Jan",1.15,21.7,14.6,1
33003012011,2011,"Allen","Feb",4.68,27.8,20.7,1
33003012011,2011,"Allen","Mar",3.64,38.1,29.8,1
33003012011,2011,"Allen","Apr",6.46,50.4,40.1,0
33003012011,2011,"Allen","May",6.87,61.8,52.4,0
33003012011,2011,"Allen","Jun",1.91,71.5,61.1,0
33003012011,2011,"Allen","Jul",1.89,79.1,67.7,0
33003012011,2011,"Allen","Aug",4.58,72.2,61.4,0
33003012011,2011,"Allen","Sep",6.68,63.3,54.2,0
33003012011,2011,"Allen","Oct",4.62,53.6,43.2,0
33003012011,2011,"Allen","Nov",5.72,46.9,38.8,0
33003012011,2011,"Allen","Dec",4.36,36,30,1
33003012012,2012,"Allen","Jan",2.97,30.4,23,1
33003012012,2012,"Allen","Feb",2,33.7,26.2,1
33003012012,2012,"Allen","Mar",2.1,52.8,42.4,0
33003012012,2012,"Allen","Apr",1.67,50.2,38.7,0
33003012012,2012,"Allen","May",3.03,67.1,54.9,0
33003012012,2012,"Allen","Jun",1.67,71.4,59,0
33003012012,2012,"Allen","Jul",2.3,78.4,67,0
33003012012,2012,"Allen","Aug",4.81,71,59.5,0
33003012012,2012,"Allen","Sep",5.21,63.1,52.3,0
33003012012,2012,"Allen","Oct",4.37,51.4,42.4,0
33003012012,2012,"Allen","Nov",0.84,39.7,30.2,1
33003012012,2012,"Allen","Dec",3.12,37.3,31.4,1
33003012013,2013,"Allen","Jan",3.18,29.2,21.7,1
33003012013,2013,"Allen","Feb",1.78,28,21.4,1
33003012013,2013,"Allen","Mar",1.89,33.6,26.9,1
33003012013,2013,"Allen","Apr",5.67,49.1,38.3,0
33003012013,2013,"Allen","May",1.67,64.7,53.5,0
33003012013,2013,"Allen","Jun",4.36,70.2,59.9,0
33003012013,2013,"Allen","Jul",7.34,72.3,63.2,0
33003012013,2013,"Allen","Aug",2.32,70.4,60,0
33003012013,2013,"Allen","Sep",3.38,65.2,52.7,0
33003012013,2013,"Allen","Oct",3.48,54.4,44,0
33003012013,2013,"Allen","Nov",2.34,38.6,30.9,1
33003012013,2013,"Allen","Dec",3.91,29.7,22.6,1
33003012014,2014,"Allen","Jan",2.02,17.7,8.4,1
33003012014,2014,"Allen","Feb",2.81,19.8,11.6,1
33003012014,2014,"Allen","Mar",1.44,31.6,21.6,1
33003012014,2014,"Allen","Apr",5.26,50.7,39.6,0
33003012014,2014,"Allen","May",4.23,61.9,50.6,0
33003012014,2014,"Allen","Jun",5.63,71.7,62,0
33003012014,2014,"Allen","Jul",3.31,69,59,0
33003012014,2014,"Allen","Aug",4.24,71.5,61.6,0
33003012014,2014,"Allen","Sep",3.37,63.8,52.5,0
33003012014,2014,"Allen","Oct",1.92,52.8,43.5,0
33003012014,2014,"Allen","Nov",2.12,35.8,28,1
33003012014,2014,"Allen","Dec",1.77,34.1,28,1
33003012015,2015,"Allen","Jan",2.2,22.2,14.5,1
33003012015,2015,"Allen","Feb",1.39,16.3,7.8,1
33003012015,2015,"Allen","Mar",2.65,34.2,25.2,1
33003012015,2015,"Allen","Apr",3.69,51.2,40,0
33003012015,2015,"Allen","May",5.04,65.1,54.2,0
33003012015,2015,"Allen","Jun",13.48,69.5,61,0
33003012015,2015,"Allen","Jul",6.43,71.4,61.7,0
33003012015,2015,"Allen","Aug",3.29,70.3,60.1,0
33003012015,2015,"Allen","Sep",2.48,69.1,57.8,0
33003012015,2015,"Allen","Oct",2.39,54.9,44.6,0
33003012015,2015,"Allen","Nov",1.85,46.8,37.7,0
33003012015,2015,"Allen","Dec",4.37,42.2,35.1,0
33003012016,2016,"Allen","Jan",1.5,26.7,19.1,1
33003012016,2016,"Allen","Feb",2.34,32.5,24.6,1
33003012016,2016,"Allen","Mar",4.31,45.2,36.8,0
33003012016,2016,"Allen","Apr",3.41,48.7,37.6,0
33003012016,2016,"Allen","May",3.03,60,49.4,0
33003012016,2016,"Allen","Jun",4.81,71.6,60.6,0
33003012016,2016,"Allen","Jul",1.66,74.9,64.7,0
33003012016,2016,"Allen","Aug",4.62,75.8,66.3,0
33003012016,2016,"Allen","Sep",3.33,69.1,58.2,0
33003012016,2016,"Allen","Oct",2.93,58.4,48.5,0
33003012016,2016,"Allen","Nov",1.08,46.3,36.8,0
33003012016,2016,"Allen","Dec",1.82,28.7,22.3,1
33003012017,2017,"Allen","Jan",4.33,32.5,26.1,1
33003012017,2017,"Allen","Feb",1.74,40.1,30.8,1
33003012017,2017,"Allen","Mar",2.57,39.2,30.6,1
33003012017,2017,"Allen","Apr",3.45,55.5,44.2,0
33003012017,2017,"Allen","May",8.07,59.2,49,0
33003012017,2017,"Allen","Jun",4.23,70.2,59.3,0
33003012017,2017,"Allen","Jul",7.76,72.8,63.3,0
33003012017,2017,"Allen","Aug",2.23,69.4,58.7,0
33003012017,2017,"Allen","Sep",1.23,66.5,55.6,0
33003012017,2017,"Allen","Oct",2.83,57.4,47.7,0
33003012017,2017,"Allen","Nov",5.99,41.4,32.8,0
33003012017,2017,"Allen","Dec",1.11,27.4,20,1
33003012018,2018,"Allen","Jan",1.66,24.6,17.1,1
33003012018,2018,"Allen","Feb",3.84,34,26.1,1
33003012018,2018,"Allen","Mar",3.53,34.9,26.5,1
